"ReceivedAt","AttachmentIndex","FileName","Airline","Profile","PermitNumber","Status","Error"
"03/08/2026 17:59:52","119","OF 4892 T7BOSS.docx","ASI - ASIAN CORPORATE AVIATION MANAGEMENT PTE LTD","asi-asian-corporate-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","120","OF 4893.docx","PRV - Loft Shine Overflight Issued","prv-loft-shine-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","121","OF 4894 HSDID.docx","ACJ - AC AVIATION CO.,LTD","acj-english-overflight-issued","(chưa lấy được)","CÁCH LY","BR-ATFM-REFERENCE: Có nhiều đường bay ATFM phù hợp, không thể tự chọn: in M_VIA for ZGSZ -> VTBD, OPER=ACJ: A202/R474/A1, A202/A1/R474."
"03/08/2026 17:59:52","122","OF 4895_ABD3571.docx","CC/ABD - ABD","abd-english-overflight-issued","O/F 08122/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08122/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","123","OF 5307 V8OAS.docx","PRV - Sultan Flight Overflight Issued","prv-sultan-flight-overflight-issued","(chưa lấy được)","THẤT BẠI","Không xác định được mã ICAO của hãng bay từ lịch bay."
"03/08/2026 17:59:52","124","OF 4896 AIQ9701.docx","FD/AIQ - AIQ","aiq-english-overflight-issued","O/F 08123/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08123/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","126","OF 5367 ADB390F.docx","POS - mã ICAO trích từ lỗi đối chiếu ATFM","caav-generic-overflight-issued","O/F 08126/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS."
"03/08/2026 17:59:52","127","OF 5368 T7JUE.docx","POS - mã ICAO trích từ lỗi đối chiếu ATFM","caav-generic-overflight-issued","O/F 08127/S/CHK/2026","CÁCH LY","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_OPER.OPER_ICAO=POS."
"03/08/2026 17:59:52","128","OF 5391 IGT1183.docx","GH/IGT - IGT","igt-english-overflight-issued","O/F 08129/S/CHK/2026","CÁCH LY","PERMIT-REVISION-REVIEW: Phép bay O/F 08129/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM."
"03/08/2026 17:59:52","129","OF 5374 CQH.docx","9C/CQH - CQH","cqh-english-overflight-issued","(chưa lấy được)","THẤT BẠI","Không tìm thấy bảng đường bay theo format caav-generic-overflight-issued."
