"CorpusFile","Id","SyncJobId","OriginalName","OriginalPath","OriginalError","Checksum"
"4409_cor_07feb__LD-545.02.2025VN-rvs-ld38a-qh1123_14feb.docx","4409","1885","cor(07feb)_LD-545.02.2025VN-rvs-ld38a-qh1123_14feb.docx","D:\vatm-storage\error\2026\08\03\pactrifmilo2_20260803_232632_email_000_cor_07feb__LD-545.02.2025VN-rvs-ld38a-qh1123_14feb.docx","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD-5150/02/2025","3f2830c5e832ac33eb87cb8df06f8750d5340f6f68b409dfa87e53b7b6f96faf"
"4404_REV1.OF-5523.8.2026VN_CHANGE_CALLSIGN_03AUG26.docx","4404","1882","REV1.OF-5523.8.2026VN  CHANGE CALLSIGN  03AUG26.docx","D:\vatm-storage\error\2026\08\03\duongvtt_20260803_221308_email_000_REV1.OF-5523.8.2026VN__CHANGE_CALLSIGN__03AUG26.docx","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: O/F 05523/S/CHK/2026","211b3cab4a00a688881b7be392504811d58218272a71c727e898a77c46297322"
"4403_QLB_168.docx","4403","1881","QLB 168.docx","D:\vatm-storage\error\2026\08\03\hiepdongbay_20260803_220203_email_002_QLB_168.docx","BR-ATFM-REFERENCE: Không tìm thấy dữ liệu đối chiếu trong ATFM: M_FPAUTHOR.AUTHOR_CODE=VATM.","6e4ebc18359d43ff8e90b1d7b809e1ef347f787aa8aa7c381101c61e21212f9d"
"4394_LD-2736_rev1_HAI799_05aug_G17.44-260803-170132.docx","4394","1876","LD-2736_rev1_HAI799_05aug_G17.44-260803-170132.docx","D:\vatm-storage\error\2026\08\03\anhkd_20260803_183711_email_001_LD-2736_rev1_HAI799_05aug_G17.44-260803-170132.docx","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 02736/S/CHK/2026","6d3957ef3ebe230bdc08466d71f85346a935b86b0b3f0af03345c2e7d1a058b6"
"4392_LD-2731_rev1_HAI489_03aug_G17.44-260803-170390.docx","4392","1875","LD-2731_rev1_HAI489_03aug_G17.44-260803-170390.docx","D:\vatm-storage\error\2026\08\03\anhkd_20260803_183122_email_001_LD-2731_rev1_HAI489_03aug_G17.44-260803-170390.docx","BR-REVISION-BASE-NOT-FOUND: Không tìm thấy phép bay gốc trong ATFM: LD 02731/S/CHK/2026","7e45e655788e426aea787d970b537fecaa7bfcdf409393ebea23919bec51846f"
"4388_tu1412000_20260731_172631_email_000_LD_2821_VJC.docx","4388","1874","tu1412000_20260731_172631_email_000_LD_2821_VJC.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\tu1412000_20260731_172631_email_000_LD_2821_VJC.docx","PERMIT-REVISION-REVIEW: Phép bay LD 08186/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM.","ecce8049f18017b8bbc1b122932c76962de365afdb04a4cd92f150f9a2819a1f"
"4387_YEN_NHI.docx","4387","1392","YEN NHI.docx","D:\vatm-storage\error\2026\08\01\tu1412000_20260801_161433_email_tu1412000_20260801_160310_email_tu1412000_20260731_172713_email_045_YEN_NHI.docx","Không hỗ trợ định dạng giấy phép bay Word này; không có format YAML nào phù hợp.","5052d611afd8f0b760a3a9f376f89183e0b6b32cd100c61b040fea224ec10b34"
"4386_REV1_LD_2467_AZG.docx","4386","1873","REV1 LD 2467 AZG.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\REV1 LD 2467 AZG.docx","PERMIT-REVISION-REVIEW: Phép bay LD 08185/S/CHK/2026 cần người vận hành kiểm tra nên không được tự động ghi vào ATFM.","49f7bacef6e2434cb2d96a313c639b6ef1a320ea0f7d11223b0b08241cc5d470"
"4384_quyngoxuan_20260803_090340_email_019_OF_5517-FDX9082.docx","4384","1871","quyngoxuan_20260803_090340_email_019_OF_5517-FDX9082.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\quyngoxuan_20260803_090340_email_019_OF_5517-FDX9082.docx","Đã xảy ra lỗi trong quá trình xử lý. Vui lòng xem nhật ký kỹ thuật để biết chi tiết.","0522935680b40f3e62fe4666db4cab1124c3ff4b83bd8bea05db6f3e4146a478"
"4383_quyngoxuan_20260803_090333_email_008_LD_2856_VFC8068-.docx","4383","1870","quyngoxuan_20260803_090333_email_008_LD_2856_VFC8068-.docx","E:\ATFM-AEROSYNC\VATM-AeroSync\NGAY 31JUL_RENUMBERED_UNUSED_20260803\quyngoxuan_20260803_090333_email_008_LD_2856_VFC8068-.docx","Không tìm thấy format YAML phù hợp. Các format gần nhất: spa066-vietnamese-landing-revision=0.40, caav-english-overflight-scheduled=0.07, caav-english-issued-permit-revision=0.00","b0fc7f9367979339609d0256a4980b5686cb94ac144e061450a061c920bff766"
